bmi,height,weight
22.2,163.9,59.9
19.9,171.0,58.3
31.9,179.9,103.3
20.4,186.8,71.3
21.3,170.6,62.1
22.4,170.5,65.4
20.4,176.3,63.7
22.9,175.1,70.4
29.9,180.4,97.6
20.2,177.9,64.1
23.7,180.8,77.7
23.9,179.3,77.0
22.0,175.5,68.0
24.9,184.9,85.2
18.8,167.5,53.0
28.0,174.0,84.9
21.7,171.8,64.2
20.7,172.9,61.9
19.1,163.3,51.0
23.9,168.1,67.6
23.0,172.8,68.7
19.4,177.3,61.2
25.0,173.0,75.0
17.6,183.4,59.5
25.6,177.1,80.3
28.5,175.0,87.3
33.3,171.6,98.2
20.6,180.0,66.8
35.6,171.3,104.7
22.4,171.5,65.9
23.4,191.4,85.9
19.4,169.6,56.0
28.2,178.7,90.2
27.3,171.1,80.2
18.9,181.7,62.6
20.2,185.7,70.0
24.6,168.4,69.9
20.1,177.2,63.3
17.8,168.3,50.5
23.2,175.8,72.0
20.6,167.2,57.7
33.7,190.0,121.7
26.8,173.7,81.1
31.6,170.5,92.1
22.4,183.3,75.5
20.7,175.6,63.9
24.7,175.0,75.8
23.0,168.4,65.3
19.9,176.5,62.2
18.9,181.0,62.0
25.3,170.2,73.4
22.2,176.8,69.6
21.1,181.6,69.9
20.4,177.2,64.3
23.3,181.3,76.8
23.0,176.9,72.0
21.9,170.5,63.8
24.5,175.0,75.1
20.9,179.2,67.2
20.9,165.1,57.1
35.8,177.8,113.4
31.4,178.7,100.4
21.3,185.2,73.3
20.6,177.4,64.9
20.5,183.1,69.0
23.2,178.7,74.4
18.9,157.8,47.2
20.5,169.3,58.9
20.8,181.8,68.9
18.9,177.4,59.5
18.7,173.2,56.2
26.1,176.2,81.2
22.3,181.4,73.5
24.6,172.0,73.0
22.4,173.8,67.8
24.5,177.0,77.0
23.3,175.3,71.9
36.5,177.1,114.6
23.2,172.5,69.1
18.5,170.0,53.5
20.1,176.0,62.5
20.9,166.7,58.3
21.2,178.4,67.5
22.8,177.0,71.7
21.8,183.0,73.3
20.2,191.0,74.0
25.8,182.6,86.1
22.4,181.5,73.9
15.3,164.8,41.8
23.8,182.9,79.8
24.1,172.7,72.1
25.9,170.8,75.8
25.5,176.3,79.5
25.0,180.7,81.8
38.5,172.8,115.1
36.4,178.3,115.9
22.0,181.1,72.2
22.9,173.5,69.2
21.4,172.5,63.9
24.3,178.7,77.8
20.1,170.4,58.5
17.6,179.3,56.7
20.0,175.1,61.4
38.7,174.1,117.5
22.7,178.3,72.3
20.9,178.9,66.9
28.8,179.3,92.6
25.9,176.6,80.8
29.6,173.0,88.8
22.5,168.7,64.1
15.4,184.7,52.7
23.4,171.2,68.7
24.6,171.2,72.3
18.5,175.6,57.1
21.6,172.2,64.1
23.3,169.3,66.8
21.1,172.7,63.1
19.6,171.0,57.4
24.9,172.8,74.5
15.8,173.1,47.5
17.4,170.0,50.5
25.6,172.7,76.4
19.6,181.2,64.5
22.1,173.0,66.4
22.6,170.2,65.7
23.7,172.4,70.5
20.0,166.0,55.3
29.5,169.0,84.5
23.0,176.4,71.6
24.9,168.7,71.0
32.0,184.9,109.7
20.0,181.4,66.0
24.6,179.0,78.9
20.2,176.5,63.1
21.6,174.6,66.0
19.4,173.2,58.4
26.4,166.1,73.0
25.8,179.1,83.0
19.3,167.1,54.0
29.0,168.3,82.2
22.0,180.4,71.8
24.6,170.0,71.2
21.3,173.8,64.4
24.0,171.2,70.6
20.3,170.4,59.2
22.2,167.5,62.3
30.2,178.4,96.2
18.8,166.2,52.1
19.1,181.9,63.5
21.9,175.3,67.6
24.3,164.3,65.7
18.1,167.5,50.8
30.2,170.5,87.9
21.4,184.6,73.0
22.8,174.6,69.7
22.1,177.3,69.5
22.7,179.6,73.3
25.4,179.0,81.5
26.0,171.3,76.3
22.2,180.6,72.5
23.4,170.4,68.1
19.2,166.1,53.2
23.2,165.0,63.2
21.9,178.6,70.0
21.5,179.9,69.8
18.5,175.0,56.9
22.6,168.6,64.3
20.5,174.7,62.6
30.2,167.0,84.3
22.4,173.8,67.8
35.2,174.8,107.7
22.2,168.4,63.0
25.3,173.9,76.6
29.7,160.7,76.8
26.8,169.0,76.8
22.3,163.0,59.3
20.7,173.6,62.4
26.1,173.9,79.1
26.0,166.0,71.8
24.8,179.0,79.7
24.3,174.8,74.5
29.0,173.6,87.4
20.3,179.4,65.6
24.9,176.8,77.9
21.0,164.7,57.2
21.6,167.7,60.9
21.8,169.9,63.2
28.8,184.2,97.9
36.0,177.0,112.9
22.1,172.5,65.8
24.7,175.3,76.0
21.8,171.5,64.2
26.3,168.4,74.8
37.1,170.2,107.6
24.8,173.8,75.1
19.0,170.6,55.4
20.7,174.4,63.2
25.1,174.8,76.8
26.0,172.7,77.8
22.9,164.3,61.9
24.4,174.3,74.3
31.5,169.1,90.1
34.0,173.3,102.2
24.0,173.9,72.8
31.7,178.5,101.2
20.8,186.0,72.2
21.1,174.2,64.3
27.2,176.1,84.4
31.8,164.7,86.5
25.8,175.8,79.8
22.0,173.4,66.4
23.7,175.1,72.8
23.8,176.9,74.5
21.3,168.3,60.4
27.8,179.2,89.5
18.0,168.6,51.2
22.6,183.1,75.8
